Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			
Device	1 Sun		Device	T89		Device	T89		Device	T75		Device	T75		Device	T63		Device	T63		Device	T56		Device	T56		Device	T51		Device	T51		Device	T39		Device	T39		Device	T20		Device	T20		Device	T18		Device	T18		Device	T8		Device	T8		Device	T5.1		Device	T5.1		Device	Room light		Device	Torch		Device	Torch		
Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		Size [cm2]	0.159		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		Date	27/04/2021		
Time	11:15:34 AM		Time	11:16:22 AM		Time	11:16:29 AM		Time	11:16:57 AM		Time	11:17:04 AM		Time	11:17:26 AM		Time	11:17:32 AM		Time	11:17:47 AM		Time	11:17:52 AM		Time	11:18:10 AM		Time	11:18:16 AM		Time	11:18:37 AM		Time	11:18:42 AM		Time	11:18:59 AM		Time	11:19:05 AM		Time	11:19:24 AM		Time	11:19:31 AM		Time	11:20:04 AM		Time	11:20:09 AM		Time	11:20:25 AM		Time	11:20:32 AM		Time	11:21:14 AM		Time	11:21:57 AM		Time	11:22:04 AM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	383.024844720497		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		Irradiance [W/m2]	1000.83954451346		
Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.060184001922607	0.00323429254046868	-0.00019465266847384	-0.060181617736816	0.00293051590337932	-0.000176363187868834	-0.079848766326904	0.00293858684778917	-0.000234642534540431	-0.079774856567383	0.00253148527519017	-0.000201948874730738	-0.099489688873291	0.00253312025476327	-0.00025201934602503	-0.099530220031738	0.00209675445645468	-0.000208690432403461	-0.099489688873291	0.00209719111201168	-0.000208648891241873	-0.099408626556396	0.0020356618498322	-0.000202362348625071	-0.099546909332275	0.00204108903989908	-0.000203184105593934	-0.099432468414307	0.00170504015582321	-0.000169536351439016	-0.099451541900635	0.00170811891235904	-0.000169875059583742	-0.099503993988037	0.00160316963173071	-0.000159521781397536	-0.099537372589111	0.00159462975812205	-0.000158725256375878	-0.099494457244873	0.000822350899816232	-8.1819356442049E-05	-0.09946346282959	0.000822404977372051	-8.17992468977148E-05	-0.099446773529053	0.000686558285430071	-6.82760063256592E-05	-0.099461078643799	0.000686995310910923	-6.83292946464324E-05	-0.099477767944336	0.0005237761050023	-5.2104077828207E-05	-0.099422931671143	0.000520773377954723	-5.17768159725427E-05	-0.099492073059082	0.000376221251272913	-3.7431032218024E-05	-0.099496841430664	0.00037554712257819	-3.73657525049043E-05	-0.099503993988037	1.62966437750851E-05	-1.62158114422125E-06	-0.099406242370605	0.000616934874510441	-6.13271776624637E-05	-0.099480152130127	0.000612220560754375	-6.09037945210369E-05	
-0.040426254272461	0.00323251883662538	-0.000130678628429937	-0.040416717529297	0.00293132522269662	-0.000118474543512233	-0.060203075408936	0.00294012585834367	-0.000177004618761626	-0.06007194519043	0.00253090226725847	-0.000152036222281086	-0.079774856567383	0.00253235750157457	-0.000202018456465448	-0.079822540283203	0.00209706202573488	-0.000167392818025597	-0.079801082611084	0.00209630426008998	-0.000167287349437408	-0.079691410064697	0.0020350814030376	-0.000162178506604508	-0.07983922958374	0.00204115097285028	-0.000162963921136467	-0.079705715179443	0.00170450022156051	-0.000135858409183	-0.079758167266846	0.00170851588860644	-0.000136268096021537	-0.079810619354248	0.00160223621368031	-0.000127875464565631	-0.07981538772583	0.00159650136725105	-0.00012742537563196	-0.079786777496338	0.000822565453254362	-6.56298467949802E-05	-0.079770088195801	0.000822123659746861	-6.55808768458618E-05	-0.079731941223145	0.000686720393765711	-5.47535500724627E-05	-0.079765319824219	0.000687341006209083	-5.4825975188568E-05	-0.079748630523682	0.00052368308916016	-4.17630091889341E-05	-0.079684257507324	0.000521083333749083	-4.15221385492368E-05	-0.07976770401001	0.000376056756423173	-2.99971840373281E-05	-0.079774856567383	0.00037534805237786	-2.99433370412903E-05	-0.079796314239502	1.62799545473081E-05	-1.29908036886181E-06	-0.079696178436279	0.000616853791238791	-4.91608898156619E-05	-0.079777240753174	0.000612224169629345	-4.88415549754323E-05	
-0.0206904411315918	0.00323331153183474	-6.68986419095234E-05	-0.0206680297851563	0.00293165123216388	-6.05914549860533E-05	-0.0404653549194336	0.00294120782234477	-0.000119017018422995	-0.0403761863708499	0.00253244965971619	-0.000102250659435496	-0.0600833892822266	0.00253528162162825	-0.000152328312612365	-0.060126781463623	0.00209781830623164	-0.000126135062849177	-0.0600924491882324	0.00209737570014594	-0.000126036442689653	-0.059990882873535	0.00203539060213234	-0.000122104879214415	-0.0601406097412108	0.00204124494329806	-0.000122761715521108	-0.0600171089172364	0.00170476790695157	-0.000102315241150122	-0.0600442886352538	0.00170910855900986	-0.000102622207626171	-0.0601072311401368	0.00160308809443929	-9.63571866304638E-05	-0.0601115226745606	0.00159714127899207	-9.60065942066082E-05	-0.0600752830505372	0.000822565464895892	-4.94158531312175E-05	-0.0600666999816896	0.000821631327709321	-4.93526824570731E-05	-0.060035228729248	0.000686619298700239	-4.12213466473847E-05	-0.0600643157958986	0.000686733516135193	-4.12481787807721E-05	-0.0600504875183106	0.00052381328805609	-3.14552433163375E-05	-0.0600018501281738	0.000520610303371905	-3.12375813981041E-05	-0.0600829124450684	0.000376075819432119	-2.25957305316474E-05	-0.0600967407226564	0.000375234791911258	-2.25503879996108E-05	-0.0600962638854982	1.62620735176733E-05	-9.77289861443466E-07	-0.0599975585937498	0.000616903162976778	-3.70126836673688E-05	-0.0600891113281252	0.000612217953051163	-3.67876327379683E-05	
-0.000928401947021559	0.00323256409890248	-3.00111880329305E-06	-0.000897884368896722	0.00293223964176652	-2.63281214020148E-06	-0.020702362060547	0.00294237560772107	-6.09141251491636E-05	-0.0206236839294437	0.00253398433962077	-5.22600921024989E-05	-0.0403809547424317	0.00253677797760887	-0.000102437516705421	-0.0404253005981445	0.0020981997759582	-8.48203566580696E-05	-0.0403876304626465	0.00209765514348444	-8.47193207731193E-05	-0.0402870178222656	0.00203541947313216	-8.20009805898616E-05	-0.0404386520385742	0.0020408503419232	-8.25292368398372E-05	-0.0403127670288086	0.00170481989803429	-6.87260073755336E-05	-0.0403404235839842	0.00170978351176274	-6.8973391101421E-05	-0.0404062271118165	0.00160300751175351	-6.47714855818602E-05	-0.0404005050659181	0.00159782340292879	-6.45528724844669E-05	-0.0403704643249513	0.00082273522171818	-3.32142029172547E-05	-0.04036283493042	0.000821354049695795	-3.31521779273034E-05	-0.0403299331665038	0.000686446200758215	-2.76843293989793E-05	-0.0403637886047365	0.000686644109168029	-2.77155576691459E-05	-0.0403447151184082	0.000523843090378478	-2.11343002480663E-05	-0.0402936935424804	0.000520656788009909	-2.09791850568834E-05	-0.0403809547424317	0.000375970201631391	-1.51820356965801E-05	-0.0403919219970705	0.000375139663131026	-1.51526120111957E-05	-0.0403885841369631	1.62372781455179E-05	-6.55800674535521E-07	-0.0402956008911132	0.000616888145400262	-2.48578785015079E-05	-0.0403890609741213	0.000612178139011097	-2.47253001835433E-05	
