Run Id	Device	Curve	Size	Material	Date	Time	Temperature	Temperature Corrected	Irradiance	Irradiance Corrected	Jsc	Isc	Voc	Impp	Vmpp	Pmpp	FF	Eta	n1	n2	IscSlope	Rshunt	Rseries	Jo1	Jo2	Slope Voc
			[cm2]				[C]		[W/m2]		[mA/cm2]	[mA]	[mV]	[mA]	[mV]	[mW]	[%]	[%]			[Ohm]	[Ohm.cm2]	[mOhm.cm2]	[A/cm2]	[A/cm2]	[mOhm]
	1 Sun	Illuminated IV2	0.159	None	27/04/2021	11:15:34 AM	25	no	1000.83954451346	yes	20.3310817688786	3.2326420012517	1103.75122453296	2.99615130580588	921.621568572605	2.76131766613768	77.3904838032949	17.3667777744508	1	2	51412.2175326544	21992.5225423356	17.257	4.4864E-22	7.5301E-13	23476.3813132579
	T89	Illuminated IV1	0.159	None	27/04/2021	11:16:22 AM	25	no	383.024844720497	yes	18.4416144910726	2.93221670408055	1100.45095189322	2.72775593943797	921.296222732943	2.51307124354155	77.8821705691191	15.8054795191293	1	2	100000000	0	16.773	2.6755E-22	1.1887E-12	23571.4474139139
	T89	Illuminated IV2	0.159	None	27/04/2021	11:16:29 AM	25	no	1000.83954451346	yes	18.5088673172301	2.94290990343958	1081.99679829617	2.73105250409966	904.652062759825	2.47065228133914	77.5905240508929	15.538693593328	1	2	100000000	30707.8151389529	47.486	5.4273E-23	2.1341E-13	23981.1416507186
	T75	Illuminated IV1	0.159	None	27/04/2021	11:16:57 AM	25	no	1000.83954451346	yes	15.9517485819744	2.53632802453394	1078.63241798227	2.3538794734399	908.653290137354	2.13886032812795	78.1814167395155	13.4519517492324	1	2	100000000	12518.3080254873	24.586	3.1031E-22	6.2651E-13	24217.7687671949
	T75	Illuminated IV2	0.159	None	27/04/2021	11:17:04 AM	25	no	1000.83954451346	yes	15.954916427325	2.53683171194467	1057.78410036324	2.35675916312661	882.993793228126	2.08100371317431	77.550421445361	13.088073667763	1	2	100000000	11393.2847979401	39.413	6.5837E-22	2.5223E-13	25349.3119847852
	T63	Illuminated IV1	0.159	None	27/04/2021	11:17:26 AM	25	no	1000.83954451346	yes	13.1970255672679	2.0983270651956	1047.09905521078	1.95150837844182	877.53101707535	1.71250913216512	77.9420718460512	10.7704976865731	0	2	100000000	0	0	0	0	31991.2440495049
	T63	Illuminated IV2	0.159	None	27/04/2021	11:17:32 AM	25	no	1000.83954451346	yes	13.1945464541471	2.09793288620939	1048.7933764896	1.95178211674218	879.653566841499	1.71689210068971	78.0299764241823	10.7980635263504	0	2	100000000	0	0	0	0	32247.137657161
	T56	Illuminated IV1	0.159	None	27/04/2021	11:17:47 AM	25	no	1000.83954451346	yes	12.8058815998422	2.0361351743749	1045.70060604094	1.89887340291572	876.050605910546	1.66350919517174	78.1288154218433	10.4623219822122	0	2	100000000	0	0	0	0	32437.6166752765
	T56	Illuminated IV2	0.159	None	27/04/2021	11:17:52 AM	25	no	1000.83954451346	yes	12.8362241807083	2.04095964473262	1047.06551596373	1.89752399036858	878.099446099796	1.66621476490372	77.9691328541811	10.4793381440486	0	2	100000000	0	0	0	0	32696.9918685708
	T51	Illuminated IV1	0.159	None	27/04/2021	11:18:10 AM	25	no	1000.83954451346	yes	10.7396236536588	1.70760016093175	1038.43762214875	1.59072124664861	870.743394426927	1.38511001789384	78.1119840826629	8.71138376033862	0	2	100000000	0	0	0	0	34799.5886514179
	T51	Illuminated IV2	0.159	None	27/04/2021	11:18:16 AM	25	no	1000.83954451346	yes	10.7611496137571	1.71102278858738	1039.38180170661	1.59062293998791	873.188678223762	1.38891394252043	78.0988133494774	8.73530781459393	0	2	100000000	0	0	0	0	35001.4239704567
	T39	Illuminated IV1	0.159	None	27/04/2021	11:18:37 AM	25	no	1000.83954451346	yes	10.08043254723	1.60278877500957	1032.23255892776	1.49412008786343	864.77723789812	1.29208104267063	78.097280074136	8.12629586585302	0	2	300993.913499769	0	0	0	0	42964.5524888411
