V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W]
-0.060184002,0.003234293,-0.000194653,-0.060181618,0.002930516,-0.000176363,-0.079848766,0.002938587,-0.000234643,-0.079774857,0.002531485,-0.000201949,-0.099489689,0.00253312,-0.000252019,-0.09953022,0.002096754,-0.00020869,-0.099489689,0.002097191,-0.000208649,-0.099408627,0.002035662,-0.000202362,-0.099546909,0.002041089,-0.000203184,-0.099432468,0.00170504,-0.000169536,-0.099451542,0.001708119,-0.000169875,-0.099503994,0.00160317,-0.000159522,-0.099537373,0.00159463,-0.000158725,-0.099494457,0.000822351,-8.18E-05,-0.099463463,0.000822405,-8.18E-05,-0.099446774,0.000686558,-6.83E-05,-0.099461079,0.000686995,-6.83E-05,-0.099477768,0.000523776,-5.21E-05,-0.099422932,0.000520773,-5.18E-05,-0.099492073,0.000376221,-3.74E-05,-0.099496841,0.000375547,-3.74E-05,-0.099503994,1.63E-05,-1.62E-06,-0.099406242,0.000616935,-6.13E-05,-0.099480152,0.000612221,-6.09E-05
-0.040426254,0.003232519,-0.000130679,-0.040416718,0.002931325,-0.000118475,-0.060203075,0.002940126,-0.000177005,-0.060071945,0.002530902,-0.000152036,-0.079774857,0.002532358,-0.000202018,-0.07982254,0.002097062,-0.000167393,-0.079801083,0.002096304,-0.000167287,-0.07969141,0.002035081,-0.000162179,-0.07983923,0.002041151,-0.000162964,-0.079705715,0.0017045,-0.000135858,-0.079758167,0.001708516,-0.000136268,-0.079810619,0.001602236,-0.000127875,-0.079815388,0.001596501,-0.000127425,-0.079786777,0.000822565,-6.56E-05,-0.079770088,0.000822124,-6.56E-05,-0.079731941,0.00068672,-5.48E-05,-0.07976532,0.000687341,-5.48E-05,-0.079748631,0.000523683,-4.18E-05,-0.079684258,0.000521083,-4.15E-05,-0.079767704,0.000376057,-3.00E-05,-0.079774857,0.000375348,-2.99E-05,-0.079796314,1.63E-05,-1.30E-06,-0.079696178,0.000616854,-4.92E-05,-0.079777241,0.000612224,-4.88E-05
-0.020690441,0.003233312,-6.69E-05,-0.02066803,0.002931651,-6.06E-05,-0.040465355,0.002941208,-0.000119017,-0.040376186,0.00253245,-0.000102251,-0.060083389,0.002535282,-0.000152328,-0.060126781,0.002097818,-0.000126135,-0.060092449,0.002097376,-0.000126036,-0.059990883,0.002035391,-0.000122105,-0.06014061,0.002041245,-0.000122762,-0.060017109,0.001704768,-0.000102315,-0.060044289,0.001709109,-0.000102622,-0.060107231,0.001603088,-9.64E-05,-0.060111523,0.001597141,-9.60E-05,-0.060075283,0.000822565,-4.94E-05,-0.0600667,0.000821631,-4.94E-05,-0.060035229,0.000686619,-4.12E-05,-0.060064316,0.000686734,-4.12E-05,-0.060050488,0.000523813,-3.15E-05,-0.06000185,0.00052061,-3.12E-05,-0.060082912,0.000376076,-2.26E-05,-0.060096741,0.000375235,-2.26E-05,-0.060096264,1.63E-05,-9.77E-07,-0.059997559,0.000616903,-3.70E-05,-0.060089111,0.000612218,-3.68E-05
-0.000928402,0.003232564,-3.00E-06,-0.000897884,0.00293224,-2.63E-06,-0.020702362,0.002942376,-6.09E-05,-0.020623684,0.002533984,-5.23E-05,-0.040380955,0.002536778,-0.000102438,-0.040425301,0.0020982,-8.48E-05,-0.04038763,0.002097655,-8.47E-05,-0.040287018,0.002035419,-8.20E-05,-0.040438652,0.00204085,-8.25E-05,-0.040312767,0.00170482,-6.87E-05,-0.040340424,0.001709784,-6.90E-05,-0.040406227,0.001603008,-6.48E-05,-0.040400505,0.001597823,-6.46E-05,-0.040370464,0.000822735,-3.32E-05,-0.040362835,0.000821354,-3.32E-05,-0.040329933,0.000686446,-2.77E-05,-0.040363789,0.000686644,-2.77E-05,-0.040344715,0.000523843,-2.11E-05,-0.040293694,0.000520657,-2.10E-05,-0.040380955,0.00037597,-1.52E-05,-0.040391922,0.00037514,-1.52E-05,-0.040388584,1.62E-05,-6.56E-07,-0.040295601,0.000616888,-2.49E-05,-0.040389061,0.000612178,-2.47E-05
0.018830776,0.003232484,6.09E-05,0.018866539,0.002932643,5.53E-05,-0.000935078,0.002943361,-2.75E-06,-0.00086689,0.002536405,-2.20E-06,-0.020648479,0.002537061,-5.24E-05,-0.020678043,0.002098382,-4.34E-05,-0.020628452,0.002098326,-4.33E-05,-0.020543098,0.00203581,-4.18E-05,-0.020676136,0.002040466,-4.22E-05,-0.020561695,0.001705411,-3.51E-05,-0.020592213,0.001710378,-3.52E-05,-0.020659447,0.001603263,-3.31E-05,-0.020647526,0.00159815,-3.30E-05,-0.020611286,0.000822758,-1.70E-05,-0.020592213,0.000821188,-1.69E-05,-0.020581722,0.000686317,-1.41E-05,-0.020618439,0.00068673,-1.42E-05,-0.020597935,0.000523876,-1.08E-05,-0.020543575,0.00052065,-1.07E-05,-0.020638943,0.000375909,-7.76E-06,-0.020640373,0.000375112,-7.74E-06,-0.020639896,1.62E-05,-3.34E-07,-0.020555973,0.000616916,-1.27E-05,-0.020619392,0.000612153,-1.26E-05
0.038590908,0.003232364,0.00012474,0.038626671,0.00293302,0.000113293,0.018834114,0.002944261,5.55E-05,0.018895626,0.002538893,4.80E-05,-0.000910282,0.002538898,-2.31E-06,-0.000928402,0.002098153,-1.95E-06,-0.000867367,0.002098677,-1.82E-06,-0.000801086,0.002035796,-1.63E-06,-0.000916004,0.002040061,-1.87E-06,-0.000806332,0.001706388,-1.38E-06,-0.00084734,0.001710972,-1.45E-06,-0.000910759,0.001603228,-1.46E-06,-0.000902653,0.001598542,-1.44E-06,-0.000870705,0.000822622,-7.16E-07,-0.000834942,0.000821136,-6.86E-07,-0.000838757,0.000686144,-5.76E-07,-0.000874996,0.000686734,-6.01E-07,-0.000855923,0.000523881,-4.48E-07,-0.000796795,0.000520553,-4.15E-07,-0.000893116,0.000375883,-3.36E-07,-0.000883579,0.000375078,-3.31E-07,-0.000891209,1.62E-05,-1.44E-08,-0.000811577,0.000616936,-5.01E-07,-0.000854015,0.000612136,-5.23E-07
0.058349609,0.003231525,0.000188558,0.058391094,0.002933639,0.000171298,0.0385952,0.002944862,0.000113658,0.038657188,0.002541027,9.82E-05,0.018832684,0.002538968,4.78E-05,0.018828392,0.002098045,3.95E-05,0.018892288,0.002099076,3.97E-05,0.018948555,0.002036196,3.86E-05,0.01885128,0.002039666,3.85E-05,0.018948555,0.00170768,3.24E-05,0.018908501,0.001711689,3.24E-05,0.018837452,0.001602882,3.02E-05,0.018856049,0.00159897,3.02E-05,0.018881321,0.000822442,1.55E-05,0.018930435,0.000821188,1.55E-05,0.018910408,0.000685826,1.30E-05,0.018873215,0.000686729,1.30E-05,0.018893242,0.000523697,9.89E-06,0.018964767,0.000520517,9.87E-06,0.018857956,0.000375843,7.09E-06,0.018878937,0.000375088,7.08E-06,0.018823147,1.61E-05,3.03E-07,0.018938541,0.000616938,1.17E-05,0.018923759,0.000612133,1.16E-05
0.07804966,0.003231003,0.000252179,0.078099728,0.00293438,0.000229174,0.058360577,0.00294593,0.000171926,0.058419228,0.002542478,0.00014853,0.038566113,0.002538678,9.79E-05,0.038579464,0.002098352,8.10E-05,0.038648129,0.00209924,8.11E-05,0.03869009,0.002036536,7.88E-05,0.038613319,0.002039779,7.88E-05,0.038691998,0.001709048,6.61E-05,0.038654804,0.001712369,6.62E-05,0.038575649,0.00160276,6.18E-05,0.038606167,0.001599187,6.17E-05,0.038630486,0.000822341,3.18E-05,0.038693905,0.000821304,3.18E-05,0.038655758,0.000685708,2.65E-05,0.038614273,0.000686856,2.65E-05,0.038635731,0.000523483,2.02E-05,0.038717747,0.000520451,2.02E-05,0.038613796,0.000375809,1.45E-05,0.038643837,0.000375107,1.45E-05,0.038579464,1.61E-05,6.21E-07,0.038675785,0.000616961,2.39E-05,0.038696289,0.00061213,2.37E-05
0.097764015,0.003230595,0.000315836,0.097805977,0.002935198,0.00028708,0.078055859,0.002946655,0.000230004,0.078126431,0.002543159,0.000198688,0.058301926,0.002538682,0.00014801,0.058339119,0.002098824,0.000122444,0.058402061,0.002099061,0.000122589,0.058440685,0.002036546,0.000119017,0.058384895,0.002040496,0.000119134,0.05844593,0.00171043,1.00E-04,0.058410168,0.001713077,0.000100061,0.058320999,0.001602613,9.35E-05,0.058357716,0.001599451,9.33E-05,0.05838728,0.000821959,4.80E-05,0.058454037,0.000821481,4.80E-05,0.058402538,0.000685667,4.00E-05,0.0583601,0.000686584,4.01E-05,0.058381557,0.000523338,3.06E-05,0.05847168,0.000520343,3.04E-05,0.058376312,0.000375834,2.19E-05,0.05841589,0.000375106,2.19E-05,0.058322906,1.61E-05,9.37E-07,0.058420658,0.000617001,3.60E-05,0.058465958,0.000612173,3.58E-05
0.117470264,0.003229821,0.000379408,0.117506981,0.002935794,0.000344976,0.097764015,0.002947109,0.000288121,0.097835064,0.002542995,0.000248794,0.078003883,0.002539766,0.000198112,0.078047276,0.002099582,0.000163867,0.078100204,0.00209867,0.000163907,0.078142643,0.002036594,0.000159145,0.078093529,0.002041256,0.000159409,0.078146935,0.001711542,0.000133752,0.078116894,0.001713812,0.000133878,0.078020096,0.001602305,0.000125012,0.078059196,0.00159996,0.000124892,0.078087807,0.000821602,6.42E-05,0.078150272,0.000821679,6.42E-05,0.07810545,0.00068557,5.35E-05,0.078067303,0.000686042,5.36E-05,0.078080654,0.000523197,4.09E-05,0.078176975,0.000520202,4.07E-05,0.078062534,0.000375776,2.93E-05,0.078109264,0.000375093,2.93E-05,0.078031063,1.61E-05,1.25E-06,0.078123569,0.000617026,4.82E-05,0.078162193,0.000612222,4.79E-05
